Year,Notes,Life Expectancy Pre-FDA,Life Expectancy Post-FDA,FDA Budget (Inflation Adjusted to 2020 USD),New Drug Applications,Cost to Develop 1 New Drug (Inflation Adjusted to 2020 USD),Cost Millions,Cost to Develop 1 New Drug in 2000 USD,Notes,FDA Budget,Notes,CPI,Life expectancy (years),Annual Increase in Lifespan Before FDA,Annual Increase in Lifespan After FDA,New Drugs Approved,New Molecular Entities,"NDAs Rec'd a, b",,,,,,,,,,,,,
1901,,49,,$0,,,,,,$ -,,,49,0.4,0.1,,,,,,,,,,,,,,,,
1902,,51,,$0,,,,,,$ -,,,51,,,,,,,,,,,,,,,,,,
1903,,51,,$0,,,,,,$ -,,,51,,,,,,,,,,,,,,,,,,
1904,,50,,$0,,,,,,$ -,,,50,,,,,,,,,,,,,,,,,,
1905,,50,,$0,,,,,,$ -,,,50,,,,,,,,,,,,,,,,,,
1906,,50,,$0,,,,,,$ -,,,50,0,,,,,,,,,,,,,,,,,
1907,,50,,$0,,,,,,$ -,,,50,,,,,,,,,,,,,,,,,,
1908,,52,,$0,,,,,,$ -,,,52,,,,,,,,,,,,,,,,,,
1909,,53,,$0,,,,,,$ -,,,53,,,,,,,,,,,,,,,,,,
1910,,52,,$0,,,,,,$ -,,,52,,,,,,,,,,,,,,,,,,
1911,,53,,$0,,,,,,$ -,,,53,,,,,,,,,,,,,,,,,,
1912,,54,,$0,,,,,,$ -,,,54,,,,,,,,,,,,,,,,,,
1913,,54,,$0,,,,,,$ -,,,54,,,,,,,,,,,,,,,,,,
1914,,55,,$0,,,,,,$ -,,,55,,,,,,,,,,,,,,,,,,
1915,,55,,$0,,,,,,$ -,,,55,,,,,,,,,,,,,,,,,,
1916,,54,,$0,,,,,,$ -,,,54,,,,,,,,,,,,,,,,,,
1917,,54,,$0,,,,,,$ -,,,54,,,,,,,,,,,,,,,,,,
1918,,47,,$0,,,,,,$ -,,,47,,,,,,,,,,,,,,,,,,
1919,,55,,$0,,,,,,$ -,,,55,,,,,,,,,,,,,,,,,,
1920,,55,,$0,,,,,,$ -,,,55,,,,,,,,,,,,,,,,,,
1921,,58,,$0,,,,,,$ -,,,58,,,,,,,,,,,,,,,,,,
1922,,58,,$0,,,,,,$ -,,,58,,,,,,,,,,,,,,,,,,
1923,,58,,$0,,,,,,$ -,,,58,,,,,,,,,,,,,,,,,,
1924,,59,,$0,,,,,,$ -,,,59,,,,,,,,,,,,,,,,,,
1925,,59,,$0,,,,,,$ -,,,59,,,,,,,,,,,,,,,,,,
1926,,58,,$0,,,,,,$ -,,,58,,,,,,,,,,,,,,,,,,
1927,,59,,$0,,,,,,$ -,,,59,,,,,,,,,,,,,,,,,,
1928,,58,,$0,,,,,,$ -,,,58,,,,,,,,,,,,,,,,,,
1929,,59,,$0,,,,,,$ -,,,59,,,,,,,,,,,,,,,,,,
1930,,60,,"$23,538,180",,,,,,"$1,537,300.00",,,60,,,,,,,,,,,,,,,,,,
1931,,60,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,
1932,,61,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,
1933,,61,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,
1934,,60,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,
1935,,61,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,
1936,,60,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,
1937,,61,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,
1938,,62,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,
1939,,63,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,
1940,,63,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,
1941,,64,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,
1942,,65,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,
1943,,64,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,
1944,,65,,,,,,,,,,,65,,,137,13,240,,"[1944, 137],",,,,,,,,,,,
1945,,66,,,,,,,,,,,66,,,132,13,213,,"[1945, 132],",,,,,,,,,,,
1946,,66.5,,,,,,,,,,,66.5,,,114,19,235,,"[1946, 114],",,,,,,,,,,,
1947,,67,,,,,,,,,,,67,,,145,26,265,,"[1947, 145],",,,,,,,,,,,
1948,,67.5,,,,,,,,,,,67.5,,,194,29,,,"[1948, 194],",,,,,,,,,,,
1949,,68,,,,,,,,,,,68,,,360,38,,,"[1949, 360],",,,,,,,,,,,
1950,,68.3,,"$50,954,326",,,,,,"$4,802,500.00",,,68.3,,,233,32,349,,"[1950, 233],",,,,,,,,,,,
1951,,68.6,,,,,,,,,,,68.6,,,256,10,360,,"[1951, 256],",,,,,,,,,,,
1952,,69,,,,,,,,,,,69,,,194,14,271,,"[1952, 194],",,,,,,,,,,,
1953,,69.2,,,,,,,,,,,69.2,,,454,19,508,,"[1953, 454],",,,,,,,,,,,
1954,,69.4,,,,,,,,,,,69.4,,,226,25,432,,"[1954, 226],",,,,,,,,,,,
1955,,69.6,,,,,,,,,,,69.6,,,343,19,606,,"[1955, 343],",,,,,,,,,,,
1956,,69.8,,,,,,,,,,,69.8,,,346,19,520,,"[1956, 346],",,,,,,,,,,,
1957,,70,,,,,,,,,,,70,,,334,16,445,,"[1957, 334],",,,,,,,,,,,
1958,,70.2,,,,,,,,,,,70.2,,,280,20,344,,"[1958, 280],",,,,,,,,,,,
1959,,,70.16,,,,,,,,,,70.16,,,225,26,369,,"[1959, 225],",,,,,,,,,,,
1960,                          FDA Efficacy Requirements,,70.24,,Thalidomide Deformities,"$74,245,064",$74,"$50,000,000",Thalidomide Deformities,,Thalidomide Deformities,,70.24,,,222,21,368,,"[1960, 222],",,,,,,,,,,,
1961,,,70.32,,,,,,,,,,70.32,,,155,23,262,,"[1961, 155],",,,,,,,,,,,
1962,,,70.4,,,,,,,,,,70.4,,,109,16,282,234.6842105,"[1962, 109],",,,,,,,,,,,
1963,,,70.48,,,,,,,,,,70.48,,,67,13,179,69.64705882,"[1963, 67],",,,,,,,,,,,
1964,,,70.56,,,,,,,,,,70.56,,,83,15,165,0.296769257,"[1964, 83],",,,,,,,,,,,
1965,,,70.64,,,,,,,,,,70.64,,,53,18,203,,"[1965, 53],",,,,,,,,,,,
1966,,,70.72,,,,,,,,,,70.72,,,40,10,147,,"[1966, 40],",,,,,,,,,,,
1967,,,70.8,,,,,,,,,,70.8,,,189,16,271,,"[1967, 189],",,,,,,,,,,,
1968,,,70.88,,,,,,,,,,70.88,,,59,14,134,,"[1968, 59],",,,,,,,,,,,
1969,,,71,,,,,,,,,,71,,,38,5,71,,"[1969, 38],",,,,,,,,,,,
1970,,,71.2,"$476,814,598",,,,,,"$72,352,000.00",,,71.2,,,51,15,75,,"[1970, 51],",,,,,,,,,,,
1971,,,71.4,,,,,,,,,,71.4,,,26,12,99,,"[1971, 26],",,,,,,,,,,,
1972,,,71.6,,,,,,,,,,71.6,,,57,10,448 d,,"[1972, 57],",,,,,,,,,,,
1973,,,72,,,,,,,,,,72,,,50,14,146,,"[1973, 50],",,,,,,,,,,,
1974,,,72.3,,,,,,,,,,72.3,,,85,21,106,,"[1974, 85],",,,,,,,,,,,
1975,,,72.6,,,"$148,490,128",$148,"$100,000,000",,,,,72.6,,,71,20,132,,"[1975, 71],",,,,,,,,,,,
1976,,,73,,,,,,,,,,73,,,72,22,142,,"[1976, 72],",,,,,,,,,,,
1977,,,73.3,,,,,,,,,,73.3,,,63,25,124,,"[1977, 63],",,,,,,,,,,,
1978,,,73.6,,,,,,,,,,73.6,,,86,17,121,,"[1978, 86],",,,,,,,,,,,
1979,,,74,,,,,,,,,,74,,,94,14,182,,"[1979, 94],",,,,,,,,,,,
1980,,,74.2,"$970,654,578",,,,,,"$312,796,000.00",,,74.2,,,114,12,162,,"[1980, 114],",,,,,,,,,,,
1981,,,74.4,,,,,,,,,,74.4,,,96,27,129,,"[1981, 96],",,,,,,,,,,,
1982,,,74.6,,,,,,,,,,74.6,,,116,28,202,,"[1982, 116],",,,,,,,,,,,
1983,,,74.8,,,,,,,,,,74.8,,,94,14,269,,"[1983, 94],",,,,,,,,,,,
1984,,,75,,,,,,,,,,75,,,142,22,217,,"[1984, 142],",,,,,,,,,,,
1985,,,75.1,,,,,,,,,,75.1,,,100,30,148,,"[1985, 100],",,,,,,,,,,,
1986,,,75.2,,,,,,,,,,75.2,,,98,20,120,,"[1986, 98],",,,,,,,,,,,
1987,,,75.3,,,"$445,470,383",$445,"$300,000,000",,,,,75.3,,,69,21,142,,"[1987, 69],",,,,,,,,,,,
1988,,,75.4,,,,,,,,,,75.4,,,67,21,126,,"[1988, 67],",,,,,,,,,,,
1989,,,75.5,,,,,,,,,,75.5,,,87,22,118,,"[1989, 87],",,,,,,,,,,,
1990,,,75.6,"$1,109,426,934",,,,,,"$567,079,000.00",,,75.6,,,64,23,98,,"[1990, 64],",,,,,,,,,,,
1991,,,75.8,,,,,,,,,,75.8,,,63,30,112,,"[1991, 63],",,,,,,,,,,,
1992,,,76,,,,,,,,,,76,,,91,26,100,,"[1992, 91],",,,,,,,,,,,
1993,,,76.1,,,,,,,,,,76.1,,,70,25,99,,"[1993, 70],",,,,,,,,,,,
1994,,,76.2,,,,,,,,,,76.2,,,62,22,114,,"[1994, 62],",,,,,,,,,,,
1995,,,76.3,,,,,,,,,,76.3,,,82,28,121,,"[1995, 82],",,,,,,,,,,,
1996,,,76.6,,,,,,,,,,76.6,,,131,53,120,,"[1996, 131],",,,,,,,,,,,
1997,,,76.8,,,,,,,,,,76.8,,,121,39,128,,"[1997, 121],",,,,,,,,,,,
1998,,,77,,,,,,,,,,77,,,90,30,121,,"[1998, 90],",,,,,,,,,,,
1999,,,77.1,,,,,,,,,,77.1,,,83,35,139,,"[1999, 83],",,,,,,,,,,,
2000,,,77.2,"$1,756,779,277",,"$1,187,921,022","$1,188","$800,000,000",,"$1,183,095,000.00",,,77.2,,,98,27,115,,"[2000, 98],",,,,,,,,,,,
2001,,,77.3,,,,,,,,,,77.3,,,66,24,98,,"[2001, 66],",,,,,,,,,,,
2002,,,77.4,,,,,,,,,,77.4,,,78,17,105,,"[2002, 78],",,,,,,,,,,,
2003,,,77.6,,,,,,,,,,77.6,,,72,21,109,,"[2003, 72],",,,,,,,,,,,
2004,,,77.8,,,,,,,,,,77.8,,,119,36,115,,"[2004, 119],",,,,,,,,,,,
2009,,,78,,,"$1,930,371,661","$1,930","$1,300,000,000",,,,,78,,,80,20,116,,"[2009, 80],",,,,,,,,,,,
2006,,,78.2,,,,,,,,,,78.2,,,101,22,124,,"[2006, 101],",,,,,,,,,,,
2007,,,78.4,,,,,,,,,,78.4,,,78,18,123,,"[2007, 78],",,,,,,,,,,,
2008,,,78.6,,,,,,,,,,78.6,,,89,24,140,,"[2008, 89],",,,,,,,,,,,
2009,,,78.8,"$3,180,234,478",,,,,,"$2,667,815,000.00",,,78.8,,,90,26,146,,"[2009, 90],",,,,,,,,,,,
2010,,,79,,,,,,,,,,79,,,93,21,103,,"[2010, 93],",,,,,,,,,,,
2011,,,79,,,,,,,,,,79,,,99,30,105,,"[2011, 99],",,,,,,,,,,,
2012,,,79,,,,,,,,,,79,,,,,,,,,,,,,,,,,,
2013,,,79,,,,,,,,,,79,,,,,,,,,,,,,,,,,,
2014,,,79,,,,,,,,,,79,,,,,,,,,,,,,,,,,,
2015,,,79,,,,,,,,,,79,,,,,,,,,,,,,,,,,,
2016,,,79,,,,,,,,,,79,,,,,,,,,,,,,,,,,,
2017,,,79,,,,,,,,,,79,,,,,,,,,,,,,,,,,,
2018,,,79,,,,,,,,,,79,,,,,,,,,,,,,,,,,,
2024,,,79,"$5,700,000,000",,"$3,860,743,322","$3,861","$2,600,000,000",,,,,79,,,,,,,,,,,,,,,,,,
2032,,,,,,"$1,930,371,661","$1,930",,,,,,,,,,,,,,,,,,,,,,,,
2035,,,,,,"$1,187,921,022","$1,188",,,,,,,,,,,,,,,,,,,,,,,,
2040,,,,,,"$445,470,383",$445,,,,,,,,,,,,,,,,,,,,,,,,
2045,,,,,,"$148,490,128",$148,,,,,,,,,,,,,,,,,,,,,,,,
2050,,,,,,"$74,245,064",$74,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
