Year,Notes,Life Expectancy Pre-FDA,Life Expectancy Post-FDA,FDA Budget (Inflation Adjusted to 2020 USD),Notes,Cost to Develop 1 New Drug (Inflation Adjusted to 2020 USD),Cost to Develop 1 New Drug in 2000 USD,Notes,FDA Budget,Notes,CPI,Life expectancy (years),Annual Increase in Lifespan Before FDA,Annual Increase in Lifespan After FDA,,,,,,,,,,,,,,,,,
1901,,49,,$0,,,,,$ -,,,49,0.4,0.2,,,,,,,,,,,,,,,,,
1902,,51,,$0,,,,,$ -,,,51,,,,,,,,,,,,,,,,,,,
1903,,51,,$0,,,,,$ -,,,51,,,,,,,,,,,,,,,,,,,
1904,,50,,$0,,,,,$ -,,,50,,,,,,,,,,,,,,,,,,,
1905,,50,,$0,,,,,$ -,,,50,,,,,,,,,,,,,,,,,,,
1906,,50,,$0,,,,,$ -,,,50,0,,,,,,,,,,,,,,,,,,
1907,,50,,$0,,,,,$ -,,,50,,,,,,,,,,,,,,,,,,,
1908,,52,,$0,,,,,$ -,,,52,,,,,,,,,,,,,,,,,,,
1909,,53,,$0,,,,,$ -,,,53,,,,,,,,,,,,,,,,,,,
1910,,52,,$0,,,,,$ -,,,52,,,,,,,,,,,,,,,,,,,
1911,,53,,$0,,,,,$ -,,,53,,,,,,,,,,,,,,,,,,,
1912,,54,,$0,,,,,$ -,,,54,,,,,,,,,,,,,,,,,,,
1913,,54,,$0,,,,,$ -,,,54,,,,,,,,,,,,,,,,,,,
1914,,55,,$0,,,,,$ -,,,55,,,,,,,,,,,,,,,,,,,
1915,,55,,$0,,,,,$ -,,,55,,,,,,,,,,,,,,,,,,,
1916,,54,,$0,,,,,$ -,,,54,,,,,,,,,,,,,,,,,,,
1917,,54,,$0,,,,,$ -,,,54,,,,,,,,,,,,,,,,,,,
1918,,47,,$0,,,,,$ -,,,47,,,,,,,,,,,,,,,,,,,
1919,,55,,$0,,,,,$ -,,,55,,,,,,,,,,,,,,,,,,,
1920,,55,,$0,,,,,$ -,,,55,,,,,,,,,,,,,,,,,,,
1921,,58,,$0,,,,,$ -,,,58,,,,,,,,,,,,,,,,,,,
1922,,58,,$0,,,,,$ -,,,58,,,,,,,,,,,,,,,,,,,
1923,,58,,$0,,,,,$ -,,,58,,,,,,,,,,,,,,,,,,,
1924,,59,,$0,,,,,$ -,,,59,,,,,,,,,,,,,,,,,,,
1925,,59,,$0,,,,,$ -,,,59,,,,,,,,,,,,,,,,,,,
1926,,58,,$0,,,,,$ -,,,58,,,,,,,,,,,,,,,,,,,
1927,,59,,$0,,,,,$ -,,,59,,,,,,,,,,,,,,,,,,,
1928,,58,,$0,,,,,$ -,,,58,,,,,,,,,,,,,,,,,,,
1929,,59,,$0,,,,,$ -,,,59,,,,,,,,,,,,,,,,,,,
1930,,60,,"$23,538,180",,,,,"$1,537,300.00",,,60,,,,,,,,,,,,,,,,,,,
1931,,60,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,
1932,,61,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,
1933,,61,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,
1934,,60,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,
1935,,61,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,
1936,,60,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,
1937,,61,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,
1938,,62,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,
1939,,63,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,
1940,,63,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,
1941,,64,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,
1942,,65,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,
1943,,64,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,
1944,,65,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,
1945,,66,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,
1946,,66,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,
1947,,67,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,
1948,,67,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,
1949,,68,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,
1950,,68,,"$50,954,326",,,,,"$4,802,500.00",,,68,,,,,,,,,,,,,,,,,,,
1951,,68,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,
1952,,69,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,
1953,,69,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,
1954,,69,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,
1955,Thalidomide Deformities,69,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,
1956,,69,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,
1957,,70,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,
1958,,70,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,
1959,,,70,,,,,,,,,70,,,,,,,,,,,,,,,,,,,
1960,1962 Expansion of FDA Mandate,,70,,Thalidomide Deformities,"$74,245,064","$50,000,000",Thalidomide Deformities,,Thalidomide Deformities,,70,,,,,,,,,,,,,,,,,,,
1961,,,70,,,,,,,,,70,,,,,,,,,,,,,,,,,,,
1962,,,70,,,,,,,,,70,,,,,,,,,,,,,,,,,,,
1963,,,70,,,,,,,,,70,,,,,,,,,,,,,,,,,,,
1964,,,70,,,,,,,,,70,,,,,,,,,,,,,,,,,,,
1965,,,70,,,,,,,,,70,,,,,,,,,,,,,,,,,,,
1966,,,70,,,,,,,,,70,,,,,,,,,,,,,,,,,,,
1967,,,70,,,,,,,,,70,,,,,,,,,,,,,,,,,,,
1968,,,70,,,,,,,,,70,,,,,,,,,,,,,,,,,,,
1969,,,71,,,,,,,,,71,,,,,,,,,,,,,,,,,,,
1970,,,71,"$476,814,598",,,,,"$72,352,000.00",,,71,,,,,,,,,,,,,,,,,,,
1971,,,71,,,,,,,,,71,,,,,,,,,,,,,,,,,,,
1972,,,71,,,,,,,,,71,,,,,,,,,,,,,,,,,,,
1973,,,72,,,,,,,,,72,,,,,,,,,,,,,,,,,,,
1974,,,72,,,,,,,,,72,,,,,,,,,,,,,,,,,,,
1975,,,72,,,"$148,490,128","$100,000,000",,,,,72,,,,,,,,,,,,,,,,,,,
1976,,,73,,,,,,,,,73,,,,,,,,,,,,,,,,,,,
1977,,,73,,,,,,,,,73,,,,,,,,,,,,,,,,,,,
1978,,,73,,,,,,,,,73,,,,,,,,,,,,,,,,,,,
1979,,,74,,,,,,,,,74,,,,,,,,,,,,,,,,,,,
1980,,,74,"$970,654,578",,,,,"$312,796,000.00",,,74,,,,,,,,,,,,,,,,,,,
1981,,,74,,,,,,,,,74,,,,,,,,,,,,,,,,,,,
1982,,,74,,,,,,,,,74,,,,,,,,,,,,,,,,,,,
1983,,,74,,,,,,,,,74,,,,,,,,,,,,,,,,,,,
1984,,,75,,,,,,,,,75,,,,,,,,,,,,,,,,,,,
1985,,,75,,,,,,,,,75,,,,,,,,,,,,,,,,,,,
1986,,,75,,,,,,,,,75,,,,,,,,,,,,,,,,,,,
1987,,,75,,,,"$300,000,000",,,,,75,,,,,,,,,,,,,,,,,,,
1988,,,75,,,,,,,,,75,,,,,,,,,,,,,,,,,,,
1989,,,75,,,,,,,,,75,,,,,,,,,,,,,,,,,,,
1990,,,75,"$1,109,426,934",,,,,"$567,079,000.00",,,75,,,,,,,,,,,,,,,,,,,
1991,,,75,,,,,,,,,75,,,,,,,,,,,,,,,,,,,
1992,,,76,,,,,,,,,76,,,,,,,,,,,,,,,,,,,
1993,,,76,,,,,,,,,76,,,,,,,,,,,,,,,,,,,
1994,,,76,,,,,,,,,76,,,,,,,,,,,,,,,,,,,
1995,,,76,,,,,,,,,76,,,,,,,,,,,,,,,,,,,
1996,,,76,,,,,,,,,76,,,,,,,,,,,,,,,,,,,
1997,,,76,,,,,,,,,76,,,,,,,,,,,,,,,,,,,
1998,,,77,,,,,,,,,77,,,,,,,,,,,,,,,,,,,
1999,,,77,,,,,,,,,77,,,,,,,,,,,,,,,,,,,
2000,,,77,"$1,756,779,277",,"$1,187,921,022","$800,000,000",,"$1,183,095,000.00",,,77,,,,,,,,,,,,,,,,,,,
2001,,,77,,,,,,,,,77,,,,,,,,,,,,,,,,,,,
2002,,,77,,,,,,,,,77,,,,,,,,,,,,,,,,,,,
2003,,,77,,,,,,,,,77,,,,,,,,,,,,,,,,,,,
2004,,,77,,,,,,,,,77,,,,,,,,,,,,,,,,,,,
2005,,,78,,,"$1,930,371,661","$1,300,000,000",,,,,78,,,,,,,,,,,,,,,,,,,
2006,,,78,,,,,,,,,78,,,,,,,,,,,,,,,,,,,
2007,,,78,,,,,,,,,78,,,,,,,,,,,,,,,,,,,
2008,,,78,,,,,,,,,78,,,,,,,,,,,,,,,,,,,
2009,,,78,"$3,180,234,478",,,,,"$2,667,815,000.00",,,78,,,,,,,,,,,,,,,,,,,
2010,,,79,,,,,,,,,79,,,,,,,,,,,,,,,,,,,
2011,,,79,,,,,,,,,79,,,,,,,,,,,,,,,,,,,
2012,,,79,,,,,,,,,79,,,,,,,,,,,,,,,,,,,
2013,,,79,,,,,,,,,79,,,,,,,,,,,,,,,,,,,
2014,,,79,,,,,,,,,79,,,,,,,,,,,,,,,,,,,
2015,,,79,,,,,,,,,79,,,,,,,,,,,,,,,,,,,
2016,,,79,,,,,,,,,79,,,,,,,,,,,,,,,,,,,
2017,,,79,,,,,,,,,79,,,,,,,,,,,,,,,,,,,
2018,,,79,,,,,,,,,79,,,,,,,,,,,,,,,,,,,
2019,,,79,"$5,700,000,000",,"$3,860,743,322","$2,600,000,000",,,,,79,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
